iter	MultiClass
0	1.498340281
1	1.440067566
2	1.399305059
3	1.365277225
4	1.34117462
5	1.320860192
6	1.302845522
7	1.288368574
8	1.274381069
9	1.261728137
10	1.251316612
11	1.24171602
12	1.232096756
13	1.223768733
14	1.215315585
15	1.207122025
16	1.20116774
17	1.194539115
18	1.188743546
19	1.183605775
20	1.178433502
21	1.173472815
22	1.168371883
23	1.163844722
24	1.159728153
25	1.155198456
26	1.150964575
27	1.147278386
28	1.143777603
29	1.140719783
30	1.137045467
31	1.133757083
32	1.13040162
33	1.127341568
34	1.124092457
35	1.121444823
36	1.118471435
37	1.115793458
38	1.113422968
39	1.110841804
40	1.108207057
41	1.105461291
42	1.103146412
43	1.100632936
44	1.098186031
45	1.096240542
46	1.094331079
47	1.092470124
48	1.090348668
49	1.088832849
50	1.087224581
51	1.085272395
52	1.08383431
53	1.081934488
54	1.080458044
55	1.07843269
56	1.076743034
57	1.075015527
58	1.073406751
59	1.071760733
60	1.069764808
61	1.068094637
62	1.066183753
63	1.064706091
64	1.063370401
65	1.061892536
66	1.060464092
67	1.059206745
68	1.057955994
69	1.056310787
70	1.054985854
71	1.053692278
72	1.052192188
73	1.051023637
74	1.049744573
75	1.048780505
76	1.04737733
77	1.046230698
78	1.045021859
79	1.043986146
80	1.042836977
81	1.041802076
82	1.040632307
83	1.039775707
84	1.038761305
85	1.03757398
86	1.036462968
87	1.035495348
88	1.034535644
89	1.033524083
90	1.032504912
91	1.031164655
92	1.030103267
93	1.029095359
94	1.027785039
95	1.026657182
96	1.025703465
97	1.02476355
98	1.024000718
99	1.02296531
100	1.022021843
101	1.021224204
102	1.020272009
103	1.019502176
104	1.018597576
105	1.017607834
106	1.016745653
107	1.015927108
108	1.015060868
109	1.014225681
110	1.013294087
111	1.012279076
112	1.011255642
113	1.010523052
114	1.009767223
115	1.008815232
116	1.008152562
117	1.00711827
118	1.006115436
119	1.005343573
120	1.004730122
121	1.004159495
122	1.003364596
123	1.00249866
124	1.00176881
125	1.001280586
126	1.000595286
127	0.9997119975
128	0.9989812342
129	0.9981644151
130	0.9974203579
131	0.9965345319
132	0.9958885051
133	0.9953366524
134	0.994651657
135	0.9940054272
136	0.9933955275
137	0.9925794189
138	0.9919026434
139	0.9913064436
140	0.9906108942
141	0.9898685621
142	0.9891994991
143	0.9885016156
144	0.9878328571
145	0.9871491808
146	0.986463678
147	0.9860198009
148	0.9852615363
149	0.9844920074
150	0.9839908951
151	0.9832163936
152	0.9826626128
153	0.9820162816
154	0.9814212996
155	0.9806382737
156	0.9801624302
157	0.9794780436
158	0.9787758979
159	0.9782734664
160	0.977725673
161	0.976911594
162	0.9764558437
163	0.9757263996
164	0.9750167443
165	0.9743032328
166	0.9735899242
167	0.9729262397
168	0.9724441044
169	0.9716954805
170	0.9709475669
171	0.9702707914
172	0.9696559192
173	0.9691102569
174	0.9684509361
175	0.9678136366
176	0.9672382404
177	0.9666469117
178	0.9659499415
179	0.9655464539
180	0.9651580868
181	0.9644555352
182	0.9639791843
183	0.963372329
184	0.9627517739
185	0.962140555
186	0.9616204658
187	0.9610855605
188	0.9605186887
189	0.959998904
190	0.959398848
191	0.9589296007
192	0.9584307211
193	0.9580243919
194	0.9573993716
195	0.9568360517
196	0.9563546267
197	0.9558996883
198	0.9553320046
199	0.9547808623
200	0.9541073342
201	0.9537211997
202	0.9532418044
203	0.9526538246
204	0.9522002054
205	0.9515514386
206	0.9510530663
207	0.9504825412
208	0.9500395775
209	0.949621984
210	0.9491864284
211	0.948675574
212	0.9482015571
213	0.9476749732
214	0.9472368806
215	0.9468576468
216	0.946229785
217	0.9456836153
218	0.9451866638
219	0.9446215172
220	0.9440992969
221	0.9436621176
222	0.9433014548
223	0.942811201
224	0.9422978096
225	0.941770008
226	0.9414485168
227	0.941027067
228	0.9403820549
229	0.939958677
230	0.9396221667
231	0.939210662
232	0.9388291956
233	0.9383693861
234	0.9378226075
235	0.9373906037
236	0.9369697628
237	0.9366952572
238	0.936080182
239	0.9356704025
240	0.9351975019
241	0.9347269354
242	0.9344544595
243	0.9338034601
244	0.9333187878
245	0.9329383362
246	0.9324654356
247	0.9319283992
248	0.9315001502
249	0.9309938624
250	0.9305218752
251	0.9299940735
252	0.9294254766
253	0.9290181326
254	0.9284968257
255	0.9280375235
256	0.9276361669
257	0.9272626161
258	0.9267139094
259	0.926403987
260	0.9260015141
261	0.9256127411
262	0.9252350296
263	0.9246881495
264	0.9242198155
265	0.9237278366
266	0.9232300732
267	0.9227400224
268	0.9222161785
269	0.9217425675
270	0.9214250341
271	0.9209249367
272	0.9204693893
273	0.9202303005
274	0.919759937
275	0.9193124066
276	0.9188454934
277	0.9185067505
278	0.9182087014
279	0.917737526
280	0.9173073488
281	0.916891582
282	0.9164406013
283	0.9159283261
284	0.9155904965
285	0.9152764134
286	0.9149995738
287	0.9147726627
288	0.9143888623
289	0.9139097714
290	0.9135869609
291	0.9133447262
292	0.9128677664
293	0.9124427648
294	0.9120859583
295	0.9116321361
296	0.9111811554
297	0.9109470392
298	0.9105631373
299	0.9102479379
300	0.9099499903
301	0.9095553314
302	0.9091937553
303	0.9087435864
304	0.9084399558
305	0.908015969
306	0.9074580275
307	0.9069227163
308	0.9066813949
309	0.9062726302
310	0.9058177932
311	0.9055261374
312	0.9052879619
313	0.9048736158
314	0.9043943219
315	0.9039416161
316	0.9035286907
317	0.9030890758
318	0.9027574365
319	0.9024125032
320	0.9020982172
321	0.9016852918
322	0.9012843411
323	0.9009614292
324	0.9006428809
325	0.9002410169
326	0.8998314404
327	0.8995016278
328	0.8990509515
